stock_id,stock_name,event_type,event_subtype,event_title,source_name,source_url,announcement_datetime,event_effective_start_date,event_effective_end_date,signal_usable_date,known_before_signal_close,post_close_pre_next_open,raw_payload_hash
3131,弘塑,ex_dividend,第14款,TPEx material information,TPEx material information,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,2026-07-02 00:00:00,2026-07-02,,2026-07-02,true,false,sha256:de3719bbb2ff66d65a0dfee3fed2fef9d0cde0201acb9f9ff1fe5e9d705b629f
3189,景碩,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-02 00:00:00,2026-07-02,,2026-07-02,true,false,sha256:4fe5b499f717f5e371fe87f3abdad4f944ba3ee4817db921c7c2efa56b72f08c
5328,華容,attention,最近六個營業日(含當日)累積之最後成交價漲幅達36.6%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達141.23%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達239.83%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達235.65%(第二款)當日週轉率達49.89%(第四款),最近六個營業日(含當日)累積之最後成交價漲幅達36.6%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達141.23%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達239.83%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達235.65%(第二款)當日週轉率達49.89%(第四款),TPEx attention securities,https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-07-02 00:00:00,,,2026-07-02,true,false,sha256:62317fc5ea970de56ac65cf0681a73243d099937a381a05f18a23de6d5e92525
6197,佳必琪,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-02 00:00:00,2026-07-02,,2026-07-02,true,false,sha256:9203896a14477d091e9b84295d497cdb5c7663549e853c43beea9a9059775135
6213,聯茂,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-02 00:00:00,2026-07-02,,2026-07-02,true,false,sha256:9f816826e8463290d7c43f86548022126ddbd74a47d8677bdc864fad27c18b07
6223,旺矽,attention,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達160.03%(第二款),最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達160.03%(第二款),TPEx attention securities,https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-07-02 00:00:00,,,2026-07-02,true,false,sha256:b303d282383ceda2deebd698831044dbf991f8be6b9b23347361283ab1f63be7
6488,環球晶,attention,最近六個營業日(含當日)累積之最後成交價漲幅達24.35%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣165元(第一款),最近六個營業日(含當日)累積之最後成交價漲幅達24.35%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣165元(第一款),TPEx attention securities,https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-07-02 00:00:00,,,2026-07-02,true,false,sha256:540f4b97adacc965c952e9bb7adfaa13e4843fd19aa1f5395eae6a609bd2c797
8027,鈦昇,attention,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達169.92%(第二款),最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達169.92%(第二款),TPEx attention securities,https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-07-02 00:00:00,,,2026-07-02,true,false,sha256:18621a791bd116dba7ca2c2804a80a554291c01b903996a31128602ebf4a5fa3
8043,蜜望實,attention,最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達63.64%，當日之前一個營業日當日沖銷成交量占總成交量達61.66%（第十三款),最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達63.64%，當日之前一個營業日當日沖銷成交量占總成交量達61.66%（第十三款),TPEx attention securities,https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-07-02 00:00:00,,,2026-07-02,true,false,sha256:21c45c9d9fc7377e3356929cc422c7ce8b95aea4bdef326ceb81e523f68fc6f2
8081,致新,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-02 00:00:00,2026-07-02,,2026-07-02,true,false,sha256:6f0baac89c93af2cafb88b2c3cc5478e686cf5b5d00aff2a774f1fe6619d87be
3711,日月光投控,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-03 00:00:00,2026-07-03,,2026-07-03,true,false,sha256:aeb5f5602f37feddedccb381a26d88ec6e525eed6b3580cce2ba45bdb52fad6b
2474,可成,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-06 00:00:00,2026-07-06,,2026-07-06,true,false,sha256:1b8c5c85b704b99b4104ffe360bdef7196c1892cfdbe54bcd8f75f8dc72490e2
3037,欣興,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-06 00:00:00,2026-07-06,,2026-07-06,true,false,sha256:be28e36b7721b047096d75441474fe270a942fe91941e887d34d8fe35faa00be
3704,合勤控,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-06 00:00:00,2026-07-06,,2026-07-06,true,false,sha256:dc1ca4f1a04eba1267a0c3e4964506c2225cbe1c37186e2dbee7679e5e9ff303
